locationid,Applicant,FacilityType,cnn,LocationDescription,Address,blocklot,block,lot,permit,Status,FoodItems,X,Y,Latitude,Longitude,Schedule,dayshours,NOISent,Approved,Received,PriorPermit,ExpirationDate,Location
812018,Spice Affairs,Truck,9094000,MISSION ST: ANNIE ST to 03RD ST (663 - 699),667 MISSION ST,3722067,3722,067,16MFF-0126,REQUESTED,Chicken Tikka Masala: Vegetarian Rice Plate: Burritos: Tacos: Mango Lassi,6012350.571,2114444.914,37.7865580501799,-122.40103337535,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0126&ExportPDF=1&Filename=16MFF-0126_schedule.pdf,,,,2016-05-31,0,,"(37.7865580501799, -122.40103337535)"
812017,Spice Affairs,Truck,12320000,SUTTER ST: CLAUDE LN to GRANT AVE (216 - 299),290 SUTTER ST,0287014,0287,014,16MFF-0126,REQUESTED,Chicken Tikka Masala: Vegetarian Rice Plate: Burritos: Tacos: Mango Lassi,6011162.135,2115691.265,37.7899138671344,-122.405232892524,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0126&ExportPDF=1&Filename=16MFF-0126_schedule.pdf,,,,2016-05-31,0,,"(37.7899138671344, -122.405232892524)"
837171,Chilifruit,Push Cart,1346000,24TH ST: MISSION ST to OSAGE ALY (3300 - 3322),Assessors Block /Lot,,,,16MFF-0135,REQUESTED,Mangoneadas: Fruit snacks: Chamoyadas: Bionicos,,,0,0,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0135&ExportPDF=1&Filename=16MFF-0135_schedule.pdf,,,,2016-08-05,0,,"(0, 0)"
839524,Halal Cart of San Francisco,Push Cart,8742101,MARKET ST: 01ST ST \ BUSH ST to 02ND ST (501 - 599) -- SOUTH --,555 MARKET ST,3708057,3708,057,16MFF-0136,REQUESTED,Gyro; Chicken over rice; Gyro over rice;,6012693.864,2115651.384,37.7898898782098,-122.399930411351,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0136&ExportPDF=1&Filename=16MFF-0136_schedule.pdf,,,,2016-08-12,0,,"(37.7898898782098, -122.399930411351)"
839523,Halal Cart of San Francisco,Push Cart,8741201,MARKET ST: FREMONT ST \ FRONT ST to 01ST ST \ BUSH ST (400 - 498) -- NORTH --,1 FRONT ST,0266009,0266,009,16MFF-0136,REQUESTED,Gyro; Chicken over rice; Gyro over rice;,6013006.032,2116325.123,37.7917572059444,-122.398897636892,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0136&ExportPDF=1&Filename=16MFF-0136_schedule.pdf,,,,2016-08-12,0,,"(37.7917572059444, -122.398897636892)"
334914,"Halal Cart, LLC",Push Cart,8748101,MARKET ST: 05TH ST \ CYRIL MAGNIN ST to MASON ST \ TURK ST (901 - 941) -- SOUTH --,901 MARKET ST,3704001,3704,001,11MFF-0175,INACTIVE,Kebab: Halal Gyros: Grilled Halal Meat: Beverages,6010303.105,2113361.952,37.7834700660829,-122.408040736138,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=11MFF-0175&ExportPDF=1&Filename=11MFF-0175_schedule.pdf,Sa-Su:12AM-3AM;Mo-Su:10AM-8PM;Fr/Sa:9PM-12AM,,,2011-09-26,0,,"(37.7834700660829, -122.408040736138)"
931094,Swell Cream & Coffee,Truck,12410000,TARAVAL ST: 34TH AVE to 35TH AVE (2400 - 2499),2450 TARAVAL ST,2363022,2363,022,17MFF-0002,REQUESTED,Ice cream: coffee: pastries,5985532.259,2098975.331,37.7425503735592,-122.492677082215,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0002&ExportPDF=1&Filename=17MFF-0002_schedule.pdf,,,,2017-01-30,0,01/30/2018 12:00:00 AM,"(37.7425503735592, -122.492677082215)"
931093,Swell Cream & Coffee,Truck,12412000,TARAVAL ST: 36TH AVE to SUNSET BLVD (2600 - 2649),2401 36TH AVE,2389001,2389,001,17MFF-0002,REQUESTED,Ice cream: coffee: pastries,5985030.8,2098527.088,37.7412902847707,-122.494377920435,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0002&ExportPDF=1&Filename=17MFF-0002_schedule.pdf,,,,2017-01-30,0,01/30/2018 12:00:00 AM,"(37.7412902847707, -122.494377920435)"
934561,M M Catering,Truck,9083000,MISSION ST: STEUART ST to SPEAR ST (35 - 99),98 MISSION ST,3713007,3713,007,17MFF-0109,REQUESTED,Cold Truck: sandwiches: corndogs: tacos: yogurt: snacks: candy: hot and cold drinks,6014365.441,2116885.206,37.7933707169278,-122.394233280448,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0109&ExportPDF=1&Filename=17MFF-0109_schedule.pdf,Mo-Fr:7AM-9AM,,,2017-02-13,1,03/31/2018 12:00:00 AM,"(37.7933707169278, -122.394233280448)"
755221,Fruteria Serrano,,9167000,MISSION ST: OCEAN AVE to PERSIA AVE (4650 - 4699),4650 MISSION ST,6955044,6955,044,16MFF-0011,REQUESTED,Fruits including mangoes: pineapples: coconuts: watermelon: corn: cucumber: potatoes chips: water: Mexican drinks: sodas: juices: snow cones,6001790.666,2091754.638,37.7236612795053,-122.43594382524,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0011&ExportPDF=1&Filename=16MFF-0011_schedule.pdf,Mo/Th/Fr:11AM-6PM,,,2016-02-17,0,03/15/2017 12:00:00 AM,"(37.7236612795053, -122.43594382524)"
934565,M M Catering,Truck,7173000,ILLINOIS ST: 24TH ST to 25TH ST (1400 - 1499),1499 ILLINOIS ST,4244002,4244,002,17MFF-0109,REQUESTED,Cold Truck: sandwiches: corndogs: tacos: yogurt: snacks: candy: hot and cold drinks,6016265.425,2102158.675,37.7530403201943,-122.386631763538,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0109&ExportPDF=1&Filename=17MFF-0109_schedule.pdf,Mo-Fr:5PM-6PM,,,2017-02-13,1,03/31/2018 12:00:00 AM,"(37.7530403201943, -122.386631763538)"
1161222,Senor Sisig,Truck,10456000,PINE ST: SANSOME ST to CENTURY PL (300 - 340),300 PINE ST,0260005,0260,005,18MFF-0025,APPROVED,Filipino fusion food: tacos: burritos: nachos: rice plates. Various beverages.,,,0,0,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0025&ExportPDF=1&Filename=18MFF-0025_schedule.pdf,Mo-Fr:11AM-2PM,,06/04/2018 12:00:00 AM,2018-05-14,0,07/15/2019 12:00:00 AM,"(0, 0)"
1024464,Senor Sisig,Truck,3525000,CALIFORNIA ST: DAVIS ST to FRONT ST (100 - 199),101 CALIFORNIA ST,0263011,0263,011,16MFF-0143,APPROVED,Senor Sisig: Filipino fusion food: tacos: burritos: nachos: rice plates. Various beverages.,6013245.668,2116754.292,37.7929489528347,-122.398098613167,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0143&ExportPDF=1&Filename=16MFF-0143_schedule.pdf,Mo/We/Fr:10AM-3PM,09/15/2017 12:00:00 AM,06/04/2018 12:00:00 AM,2016-12-02,0,07/15/2019 12:00:00 AM,"(37.7929489528347, -122.398098613167)"
1170850,Papalote Inc.,Truck,12044000,SPEAR ST: MARKET ST to MISSION ST (1 - 99),60 SPEAR ST,3712023,3712,023,18MFF-0031,REQUESTED,,6014255.311,2116583.43,37.7925359884311,-122.394593199235,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=18MFF-0031&ExportPDF=1&Filename=18MFF-0031_schedule.pdf,Tu/We:10AM-3PM,,,2018-06-04,0,07/15/2019 12:00:00 AM,"(37.7925359884311, -122.394593199235)"
934569,M M Catering,Truck,716000,16TH ST: HAMPSHIRE ST to BRYANT ST (2200 - 2399),Assessors Block 3930A/Lot002,3930A002,3930A,002,17MFF-0109,REQUESTED,Cold Truck: sandwiches: corndogs: tacos: yogurt: snacks: candy: hot and cold drinks,6009824.81,2107195.241,37.7665109269083,-122.40926014493,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0109&ExportPDF=1&Filename=17MFF-0109_schedule.pdf,Mo-Fr:7PM-8PM,,,2017-02-13,1,03/31/2018 12:00:00 AM,"(37.7665109269083, -122.40926014493)"
934570,M M Catering,Truck,7037000,HOWARD ST: HAWTHORNE ST to 03RD ST (648 - 699),661 HOWARD ST,3735040,3735,040,17MFF-0109,REQUESTED,Cold Truck: sandwiches: corndogs: tacos: yogurt: snacks: candy: hot and cold drinks,6012797.551,2113994.294,37.7853456766418,-122.399455276698,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0109&ExportPDF=1&Filename=17MFF-0109_schedule.pdf,Mo-Fr:8PM-9PM,,,2017-02-13,1,03/31/2018 12:00:00 AM,"(37.7853456766418, -122.399455276698)"
934568,M M Catering,Truck,6603000,HAIGHT ST: GOUGH ST to OCTAVIA ST (20 - 99),20 HAIGHT ST,0853023,0853,023,17MFF-0109,REQUESTED,Cold Truck: sandwiches: corndogs: tacos: yogurt: snacks: candy: hot and cold drinks,6005961.175,2109761.804,37.7733408773453,-122.422806203983,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0109&ExportPDF=1&Filename=17MFF-0109_schedule.pdf,Mo-Fr:6PM-8PM,,,2017-02-13,1,03/31/2018 12:00:00 AM,"(37.7733408773453, -122.422806203983)"
934562,M M Catering,Truck,2110000,ALABAMA ST: 17TH ST to MARIPOSA ST (400 - 499),400 ALABAMA ST,3968001,3968,001,17MFF-0109,REQUESTED,Cold Truck: sandwiches: corndogs: tacos: yogurt: snacks: candy: hot and cold drinks,6008836.323,2106230.541,37.7638066535277,-122.412610953897,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0109&ExportPDF=1&Filename=17MFF-0109_schedule.pdf,Mo-Fr:7AM-8AM/9AM-10AM/12PM-1PM/8PM-9PM,,,2017-02-13,1,03/31/2018 12:00:00 AM,"(37.7638066535277, -122.412610953897)"
934564,M M Catering,Truck,3144000,BROADWAY: FRONT ST to BATTERY ST (100 - 199),100 BROADWAY,0141003B,0141,003B,17MFF-0109,REQUESTED,Cold Truck: sandwiches: corndogs: tacos: yogurt: snacks: candy: hot and cold drinks,6012663.956,2118920.369,37.7988640669494,-122.400263583781,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0109&ExportPDF=1&Filename=17MFF-0109_schedule.pdf,Mo-Fr:10AM-11AM,,,2017-02-13,1,03/31/2018 12:00:00 AM,"(37.7988640669494, -122.400263583781)"
934362,Mob Dog,Push Cart,8745201,MARKET ST: 03RD ST \ KEARNY ST to GRANT AVE \ OFARRELL ST (700 - 748) -- NORTH --,720 MARKET ST,0312004,0312,004,17MFF-0068,REQUESTED,Hot Dogs: Chips: Bottled Drinks,6011475.041,2114841.614,37.7875984155546,-122.404090439434,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0068&ExportPDF=1&Filename=17MFF-0068_schedule.pdf,Th/Fr/Sa:8AM-10PM,,,2017-02-13,0,05/06/2018 12:00:00 AM,"(37.7875984155546, -122.404090439434)"
934560,M M Catering,Truck,9206000,MISSISSIPPI ST: END to CESAR CHAVEZ ST (1200 - 1299),1200 MISSISSIPPI ST,4288003,4288,003,17MFF-0109,REQUESTED,Cold Truck: sandwiches: corndogs: tacos: yogurt: snacks: candy: hot and cold drinks,6014017.542,2101712.689,37.7516910357229,-122.394374213263,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0109&ExportPDF=1&Filename=17MFF-0109_schedule.pdf,Mo/Tu/We/Th/Fr:12AM-5AM;Sa:2PM-6PM;Mo-Fr:3PM-6PM,,,2017-02-13,1,03/31/2018 12:00:00 AM,"(37.7516910357229, -122.394374213263)"
934563,M M Catering,Truck,12044000,SPEAR ST: MARKET ST to MISSION ST (1 - 99),45 SPEAR ST,3713006,3713,006,17MFF-0109,REQUESTED,Cold Truck: sandwiches: corndogs: tacos: yogurt: snacks: candy: hot and cold drinks,6014186.566,2117071.214,37.7938715071506,-122.394865238621,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0109&ExportPDF=1&Filename=17MFF-0109_schedule.pdf,Mo-Fr:7AM-8AM/9AM-11AM/12PM-1PM,,,2017-02-13,1,03/31/2018 12:00:00 AM,"(37.7938715071506, -122.394865238621)"
934572,M M Catering,Truck,6729000,HARRISON ST: LANGTON ST to CHESLEY ST (1113 - 1144),1140 HARRISON ST,3755023,3755,023,17MFF-0109,REQUESTED,Cold Truck: sandwiches: corndogs: tacos: yogurt: snacks: candy: hot and cold drinks,6010297.861,2110271.569,37.7749843060688,-122.40784088806,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0109&ExportPDF=1&Filename=17MFF-0109_schedule.pdf,Mo-Fr:9PM-10PM,,,2017-02-13,1,03/31/2018 12:00:00 AM,"(37.7749843060688, -122.40784088806)"
934571,M M Catering,Truck,9094000,MISSION ST: ANNIE ST to 03RD ST (663 - 699),667 MISSION ST,3722067,3722,067,17MFF-0109,REQUESTED,Cold Truck: sandwiches: corndogs: tacos: yogurt: snacks: candy: hot and cold drinks,6012350.571,2114444.914,37.7865580501799,-122.40103337535,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0109&ExportPDF=1&Filename=17MFF-0109_schedule.pdf,Mo-Fr:8PM-9PM,,,2017-02-13,1,03/31/2018 12:00:00 AM,"(37.7865580501799, -122.40103337535)"
934567,M M Catering,Truck,7196000,INDIANA ST: 22ND ST to TUBBS ST (1000 - 1099),1095 INDIANA ST,4170010,4170,010,17MFF-0109,REQUESTED,Cold Truck: sandwiches: corndogs: tacos: yogurt: snacks: candy: hot and cold drinks,6015168.427,2103589.069,37.7569070856214,-122.390525368135,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0109&ExportPDF=1&Filename=17MFF-0109_schedule.pdf,Mo-Fr:6PM-7PM,,,2017-02-13,1,03/31/2018 12:00:00 AM,"(37.7569070856214, -122.390525368135)"
934566,M M Catering,Truck,192201,03RD ST: 23RD ST to 24TH ST (2700 - 2798) -- WEST --,2700 03RD ST,4230001,4230,001,17MFF-0109,REQUESTED,Cold Truck: sandwiches: corndogs: tacos: yogurt: snacks: candy: hot and cold drinks,6015750.256,2102782.473,37.7547246040128,-122.388456870373,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0109&ExportPDF=1&Filename=17MFF-0109_schedule.pdf,Mo-Fr:6PM-7PM,,,2017-02-13,1,03/31/2018 12:00:00 AM,"(37.7547246040128, -122.388456870373)"
948140,Eli's Hot Dogs,Push Cart,7504000,JERROLD AVE: BARNEVELD AVE to END (2351 - 2369),101 BAY SHORE BLVD,5559018,5559,018,17MFF-0155,REQUESTED,various styles of hot dogs & sausages: chips: breakfast sandwiches: chili: soda: water:,6011376.107,2100039.012,37.7469482955131,-122.403390960313,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0155&ExportPDF=1&Filename=17MFF-0155_schedule.pdf,Mo/Tu/We/Th/Fr:9AM-5PM,,,2017-03-14,1,03/15/2017 12:00:00 AM,"(37.7469482955131, -122.403390960313)"
955616,Tacos Santo Toribio,Truck,12628000,TOLAND ST: NEWCOMB AVE to OAKDALE AVE (900 - 999),928 TOLAND ST,5597A001,5597A,001,17MFF-0171,REQUESTED,tacos,6011869.691,2098089.783,37.7416236862353,-122.401547206397,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0171&ExportPDF=1&Filename=17MFF-0171_schedule.pdf,,,,2017-03-23,0,,"(37.7416236862353, -122.401547206397)"
959619,"Kabob Trolley, LLC",Push Cart,267001,04TH ST: TOWNSEND ST to KING ST (700 - 799),298 KING ST,8702606,8702,606,17MFF-0177,REQUESTED,Gyros: Kebobs: refreshments and dessert,6014485.06287,2111154.51751,37.77764220851,-122.393418145932,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0177&ExportPDF=1&Filename=17MFF-0177_schedule.pdf,Mo-Su:10AM-8PM,,,2017-04-07,0,03/15/2018 12:00:00 AM,"(37.77764220851, -122.393418145932)"
963998,Singh Brothers Ice Cream,Truck,10327000,PENINSULA AVE: BLANKEN AVE to LATHROP AVE (300 - 399),360 PENINSULA AVE,5083009,5083,009,17MFF-0182,REQUESTED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA,6012192.793,2086872.475,37.7108412835853,-122.399642614963,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0182&ExportPDF=1&Filename=17MFF-0182_schedule.pdf,Mo-Fr:5PM-6PM,,,2017-04-18,1,03/15/2018 12:00:00 AM,"(37.7108412835853, -122.399642614963)"
963995,Singh Brothers Ice Cream,Truck,4938000,KISKA RD: DORMITORY RD \ KIRKWOOD AVE to REARDON RD (141 - 199),195 KISKA RD,4700052,4700,052,17MFF-0182,REQUESTED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA,6018976.06063,2093508.4787,37.729438288454,-122.376657800723,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0182&ExportPDF=1&Filename=17MFF-0182_schedule.pdf,Mo-Fr:4PM-5PM,,,2017-04-18,1,03/15/2018 12:00:00 AM,"(37.729438288454, -122.376657800723)"
963990,Singh Brothers Ice Cream,Truck,7479000,JENNINGS ST: VAN DYKE AVE to WALLACE AVE (2100 - 2199),2115 JENNINGS ST,4828021,4828,021,17MFF-0182,REQUESTED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA,6015486.282,2092591.619,37.7267279782571,-122.388658428832,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0182&ExportPDF=1&Filename=17MFF-0182_schedule.pdf,Mo-Fr:3PM-4PM,,,2017-04-18,1,03/15/2018 12:00:00 AM,"(37.7267279782571, -122.388658428832)"
963987,Singh Brothers Ice Cream,Truck,5599000,FITZGERALD AVE: HAWES ST to INGALLS ST (1100 - 1199),1104 FITZGERALD AVE,4914022,4914,022,17MFF-0182,REQUESTED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA,6015221.628,2090210.317,37.7201747226493,-122.389407114342,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0182&ExportPDF=1&Filename=17MFF-0182_schedule.pdf,Mo-Fr:2PM-3PM,,,2017-04-18,1,03/15/2018 12:00:00 AM,"(37.7201747226493, -122.389407114342)"
963978,Singh Brothers Ice Cream,Truck,6961000,HOLLISTER AVE: HAWES ST to INGALLS ST (1000 - 1099),1000 HOLLISTER AVE,4943002,4943,002,17MFF-0182,REQUESTED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA,6014891.341,2089767.246,37.7189398190959,-122.390517872066,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0182&ExportPDF=1&Filename=17MFF-0182_schedule.pdf,Mo-Fr:12PM-1PM,,,2017-04-18,1,03/15/2018 12:00:00 AM,"(37.7189398190959, -122.390517872066)"
963991,Singh Brothers Ice Cream,Truck,6671000,HARBOR RD: NORTHRIDGE RD to INGALLS ST (1 - 299),297 HARBOR RD,4712008,4712,008,17MFF-0182,REQUESTED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA,6017903.776,2094986.964,37.7334388116408,-122.380467549518,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0182&ExportPDF=1&Filename=17MFF-0182_schedule.pdf,Mo-Fr:3PM-4PM,,,2017-04-18,1,03/15/2018 12:00:00 AM,"(37.7334388116408, -122.380467549518)"
963994,Singh Brothers Ice Cream,Truck,7223000,INGALLS ST: GEORGE CT to OAKDALE AVE (1300 - 1399),1309 INGALLS ST,4714002,4714,002,17MFF-0182,REQUESTED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA,6017478.204,2093879.426,37.7303742378628,-122.381861878657,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=17MFF-0182&ExportPDF=1&Filename=17MFF-0182_schedule.pdf,Mo-Fr:4PM-5PM,,,2017-04-18,1,03/15/2018 12:00:00 AM,"(37.7303742378628, -122.381861878657)"
